15380538020181220129300098090022959223012916510012436002295922301298122100355500229592230
200355500011797000000000009350632418ST6261  5200000000007004001650620A234567893000000
200355500021797000000000009350632418ST2845  1100000000019469001650620A234567893000000
200355500031797000000000009350632418ST2883  1100000000008529001650620A234567893000000
200355500041497000000000009350632540ST1720  1100000000002274001650620A234567893000000
200355500051497000000000009350632540ST1720  1100000000002474001650620A234567893000000
200355500061497000000000009350632566ST1720  1100000000002574001650620A111111113000000
200355500071497000000000009350632566ST9919  1100000000007596001650620A111111113000000
200355500081797000000000009350632566ST2618  0000000000006848001650620A111111113000000
200355500091797000000000009350632566ST2618  0000000000002842001650620A111111113000000
200355500101797000000000009350632566ST2618  0000000000002414001650620A111111113000000
3201812200000000010000000004710600000000001491800
